trade_date,market_type,underlying,contract_month,underlying_price,call_wall,put_wall,price_wall,gex_flip,gamma_regime,net_gex,total_abs_gex,price_wall_distance,future_price_1d,future_price_3d,future_price_5d,future_return_1d,future_return_3d,future_return_5d,touch_call_wall,break_call_wall_1d,call_wall_reject_1d,touch_put_wall,break_put_wall_1d,put_wall_bounce_1d,near_price_wall,price_wall_magnet_1d,gamma_flip_cross_1d,next_abs_return_1d,next_abs_return_3d,next_abs_return_5d,event_quality
2026-07-14,COMMODITY,AP,2610,,,,8000.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-14,COMMODITY,AP,2611,,,,9800.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-14,COMMODITY,AP,2701,,,,8800.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-14,COMMODITY,CF,2609,,,,16000.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-14,COMMODITY,CF,2611,,,,15400.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-14,COMMODITY,CF,2701,,,,15800.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-14,COMMODITY,CF,2703,,,,16200.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-14,COMMODITY,CF,2705,,,,16200.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-14,COMMODITY,CJ,2609,,,,9000.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-14,COMMODITY,CJ,2612,,,,9200.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-14,COMMODITY,CJ,2701,,,,10000.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-14,COMMODITY,CJ,2705,,,,9300.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-14,COMMODITY,FG,2609,,,,1000.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-14,COMMODITY,FG,2610,,,,1200.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-14,COMMODITY,FG,2611,,,,980.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-14,COMMODITY,FG,2612,,,,1160.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-14,COMMODITY,FG,2701,,,,1480.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-14,COMMODITY,FG,2703,,,,1140.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-14,COMMODITY,FG,2705,,,,1280.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-14,COMMODITY,MA,2609,,,,3000.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-14,COMMODITY,MA,2610,,,,2100.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-14,COMMODITY,MA,2611,,,,3000.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-14,COMMODITY,MA,2612,,,,2750.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-14,COMMODITY,MA,2701,,,,3300.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-14,COMMODITY,MA,2703,,,,2700.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-14,COMMODITY,MA,2705,,,,2600.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-14,COMMODITY,OI,2609,,,,10000.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-14,COMMODITY,OI,2611,,,,10600.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-14,COMMODITY,OI,2701,,,,11200.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-14,COMMODITY,OI,2703,,,,8700.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-14,COMMODITY,OI,2705,,,,9200.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-14,COMMODITY,PF,2609,,,,7500.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-14,COMMODITY,PF,2610,,,,7700.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-14,COMMODITY,PF,2611,,,,7100.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
2026-07-14,COMMODITY,PK,2610,,,,9000.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,,,,pending
